year,id,regionName,Gdp0101,Gdp0102,Gdp0103,Gdp0106,Gdp0113,Gdp0114,Gdp0115,Gdp0116,Ftec0101,Ftec0102,Ftec0103,Ifa0101,Ifa0102,Ifa0104,Pop01,Pop04,Pop05,Pop30,Tpt0101,Tpt0103,Tpt0104,bm,ccnl,egdp,hdmsp,hviirs,viirs,viirsl
1995,110000,北京市,1394.89,72.16,645.81,789.72,4.7861,42.8344,52.3795,12690,3703513,1024977,2678536,864.85,,,1251,,,,1020,11811,11682,,242553.5281,33187552454,324343.3961,,,
1995,500000,重庆市,1016.25,264.19,412.28,339.78,25.9966,40.5688,33.4347,3395,,,,,,,,,,,,,,,32312.52858,12414509947,76456.52941,,,
1995,120000,天津市,920.11,60.8,518.55,352.62,6.5238,55.6402,37.836,9769,804358,406407,397951,396.55,,,942,,,,503,4243,3833,,165720.8613,24168885504,254806.498,,,
1995,310000,上海市,2462.57,59.82,1419.41,1020.2,2.3933,56.7893,40.8173,17022,2435732,1296379,1139353,1597.89,,,1415,,,,256,3787,3787,,194176.7529,29414800587,252677.4353,,,
1995,330000,浙江省,3524.79,549.96,1854.52,1153.07,15.459,52.1291,32.4119,8149,1150972,769242,381730,1482.62,,,4319,,,,938,34121,34121,,284214.0618,60477754547,562818.098,,,
1995,460000,海南省,364.17,128.9,78.48,155.87,35.4852,21.605,42.9098,5063,235572,92323,143249,182.08,,,724,,,,1670,14808,8023,,42781.88548,8486328788,99345.45882,,,
1995,440000,广东省,5381.72,864.49,2900.22,2168.34,14.5708,48.8824,36.5468,8129,10392226,5657260,4734966,2315.83,,,6868,,,,684,84567,77883,,722939.7884,1.39E+11,1163981.898,,,
1995,340000,安徽省,2003.58,584.12,660.09,566.45,32.2601,36.4558,31.2842,3070,200801,139305,61496,476.1,,,6013,,,,1754,35178,33893,,174023.5602,36205746154,380561.1137,,,
1995,210000,辽宁省,2793.37,392.2,1390,1011.2,14.0402,49.7601,36.1996,6880,1319890,824357,495533,865.49,,,4092,,,,3568,43434,42563,,381258.2312,52185261612,735855.2902,,,
1995,370000,山东省,5002.34,1010.13,2355.78,1587.44,20.3929,47.5593,32.0478,5701,1394352,816017,578335,1308.62,,,8705,,,,2048,54243,53024,,730372.3215,99851457571,1471642.976,,,
1995,320000,江苏省,5155.25,866.24,2715.26,1573.75,16.8031,52.6698,30.5271,7319,1630988,978926,652062,1764.76,,,7066,,,,747,25970,25385,,542479.2431,1.06E+11,1011983.984,,,
1995,230000,黑龙江省,2014.53,371.2,1048.6,571.6,18.6402,52.6564,28.7034,5402,238645,116640,122005,517.62,,,3701,,,,4943,48819,45449,,376007.4417,65240440306,780809.8706,,,
1995,510000,四川省,3534,662.46,980.91,799.84,27.1143,40.1484,32.7373,3043,347996,226951,121045,901.42,,,11325,,,,2881,100724,94490,,103733.0205,45762141258,249724.1412,,,
1995,140000,山西省,1092.48,168.69,494.45,412.89,15.6771,45.9513,38.3716,3515,140228,114255,25973,270.64,,,3077,,,,2435,33644,28112,,506470.9373,60778773580,850084.5647,,,
1995,650000,新疆维吾尔自治区,825.11,240.71,283.97,290.17,29.5404,34.8494,35.6102,4701,117146,59211,57935,331.97,,,1661,,,,1343,30298,27982,,206653.6024,1.10E+11,358135.3373,,,
1995,540000,西藏自治区,55.98,23.48,13.24,19.39,41.8464,23.5965,34.5571,2358,21722,868,20854,35.13,,,240,,,,,22391,8234,,4081.978743,52433478520,8393.160784,,,
1995,420000,湖北省,2391.42,619.77,780.18,709.43,29.3816,36.9862,33.6322,3671,340421,197968,142453,785.09,,,5772,,,,1693,48728,41135,,170465.9603,34434751771,359687.9569,,,
1995,620000,甘肃省,553.35,110.65,256.83,190.28,19.8383,46.0467,34.115,2316,59952,36027,23925,145.76,,,2438,,,,2322,35194,28345,,92282.06768,33469409469,186525.6549,,,
1995,530000,云南省,1206.68,302.69,534.78,384.68,24.767,43.7573,31.4757,3083,214784,125734,89050,390.45,,,3990,,,,1592,68236,64483,,107792.679,40870079187,234201.4,,,
1995,520000,贵州省,630.07,227.13,232.52,176.56,35.7005,36.5477,27.7518,1826,66427,44269,22158,161.79,,,3508,,,,1423,32487,32487,,37842.99484,16944151586,99867.90588,,,
1995,430000,湖南省,2195.7,685.3,770.67,676.16,32.1416,36.1455,31.7129,3359,203888,147015,56873,523,,,6392,,,,2292,59125,58191,,80976.88063,26303436884,198214.3176,,,
1995,360000,江西省,1205.11,374.64,403.74,391.35,32.0279,34.5157,33.4564,2896,132315,104194,28121,282.54,,,4063,,,,1581,34915,34891,,62346.55501,20787245563,152350.7843,,,
1995,640000,宁夏回族自治区,169.75,35.41,74.67,65.1,20.2123,42.6223,37.1597,3448,21963,16849,5114,62.17,,,513,,,,714,8554,8110,,44762.04203,9963448356,89578.03529,,,
1995,450000,广西壮族自治区,1497.56,449.64,535.86,512.06,30.0248,35.7822,34.193,3304,309070,170198,138872,403.15,,,4543,,,,219,40904,39838,,94764.72885,28709069951,228384.4588,,,
1995,350000,福建省,2160.52,464.82,882.34,747.74,22.1882,42.1185,35.6934,6526,1444560,790795,653765,683.02,,,3237,,,,1024,46574,42437,,176142.5362,37462036499,366438.6078,,,
1995,220000,吉林省,1129.2,303.99,475.22,358.02,26.7307,41.7875,31.4818,4402,260704,109673,151031,320.27,,,2592,,,,3480,31321,26391,,189550.8095,33445795792,393236.5294,,,
1995,150000,内蒙古自治区,832.88,260.18,308.78,288.1,30.3573,36.0278,33.6149,3772,99723,49968,49755,251.32,,,2284,,,,5073,44753,36053,,195789.928,84055712685,388787.6353,,,
1995,130000,河北省,2849.52,631.34,1322.77,895.41,22.156,46.4208,31.4232,4444,391775,286561,105214,907.75,,,6437,,,,3228,51630,45881,,595754.9663,75724753459,1173296.631,,,
1995,410000,河南省,3002.74,762.99,1394.98,830.4,25.532,46.6803,27.7877,3297,222904,135745,87159,783.14,,,9100,,,,2136,49707,42840,,419841.127,61951942680,845108.0667,,,
1995,610000,陕西省,1000.03,217.27,441.67,377.91,20.9548,42.5973,36.4479,2965,168287,126844,41443,310.18,,,3514,,,,1957,39620,28960,,180136.5389,39072952812,381822.8745,,,
1995,630000,青海省,165.31,39.62,64.58,63.6,23.6114,38.4863,37.9023,3513,15397,12999,2398,53.11,,,481,,,,1095,17223,14887,,22115.56449,34909554261,43631.76863,,,
1996,310000,上海市,2902.2,71.58,1582.5,1248.12,2.3235,53.9879,43.6885,19779,2713885,1302879,1411006,1996.88,,,1419,,,1448,256,3881,3870,,148192.3439,30600250121,226245.4902,,,
1996,110000,北京市,1615.73,83.46,683.14,849.13,4.1002,39.9424,55.9574,14254,2931833,811975,2119858,889.66,,,1259,,,1771,1067,12084,11616,,216782.9858,34680298874,310641.7608,,,
1996,500000,重庆市,1179.09,287.56,474.31,425.6,24.2162,39.9429,35.8409,4130,,,,320.73,,,,,,,,,,,42889.35951,13062176475,76393.12549,,,
1996,360000,江西省,1517.26,440,588.82,488.44,31.2114,34.141,34.6475,3452,111549,85097,26452,317.32,,,4105,,,370,2116,34963,21986,,78851.72288,21798905591,145139.4902,,,
1996,220000,吉林省,1337.16,376.01,543.17,417.98,27.919,39.8763,32.2047,5178,210366,97188,113178,362.99,,,2610,,,805,3480,32098,30379,,260315.8465,35163116596,443357.5176,,,
1996,150000,内蒙古自治区,984.78,312.82,387.29,284.67,30.576,35.6538,33.7702,4457,104991,52073,52918,262.05,,,2307,,,654,5073,45744,37467,,219183.2397,87461673282,377682.8627,,,
